frame_idx,batch_idx,image_id,file_name,keypoint_id,pred_x,pred_y,pred_conf,gt_x,gt_y,gt_visible
0,0,0,iter_00_frame_000.png,0,381.90234375,143.81640625,0.7762142419815063,349,121,2
0,0,0,iter_00_frame_000.png,1,381.90234375,127.17578125,0.7993687391281128,354,108,2
0,0,0,iter_00_frame_000.png,2,373.58203125,135.49609375,0.8322389125823975,351,107,1
0,0,0,iter_00_frame_000.png,3,390.22265625,127.17578125,0.6694252490997314,382,111,2
0,0,0,iter_00_frame_000.png,4,365.26171875,143.81640625,0.7288193106651306,372,109,1
0,0,0,iter_00_frame_000.png,5,390.22265625,160.45703125,0.7605515718460083,399,157,2
0,0,0,iter_00_frame_000.png,6,373.58203125,160.45703125,0.7967123985290527,378,153,1
0,0,0,iter_00_frame_000.png,7,431.82421875,185.41796875,0.633926510810852,439,199,2
0,0,0,iter_00_frame_000.png,8,381.90234375,185.41796875,0.6761839389801025,394,183,1
0,0,0,iter_00_frame_000.png,9,415.18359375,152.13671875,0.8612490892410278,423,157,2
0,0,0,iter_00_frame_000.png,10,415.18359375,152.13671875,0.6901952028274536,372,143,1
0,0,0,iter_00_frame_000.png,11,390.22265625,251.98046875,0.8167344331741333,398,251,2
0,0,0,iter_00_frame_000.png,12,390.22265625,251.98046875,0.8199775218963623,374,237,1
0,0,0,iter_00_frame_000.png,13,373.58203125,326.86328125,0.8133120536804199,391,334,2
0,0,0,iter_00_frame_000.png,14,381.90234375,335.18359375,0.8699691295623779,366,312,1
0,0,0,iter_00_frame_000.png,15,390.22265625,401.74609375,0.7166340351104736,401,417,2
0,0,0,iter_00_frame_000.png,16,390.22265625,410.06640625,0.6817190647125244,371,386,1
1,0,1,iter_00_frame_001.png,0,381.90234375,143.81640625,0.7762142419815063,349,121,2
1,0,1,iter_00_frame_001.png,1,381.90234375,127.17578125,0.7993687391281128,354,108,2
1,0,1,iter_00_frame_001.png,2,373.58203125,135.49609375,0.8322389125823975,351,107,1
1,0,1,iter_00_frame_001.png,3,390.22265625,127.17578125,0.6694252490997314,382,111,2
1,0,1,iter_00_frame_001.png,4,365.26171875,143.81640625,0.7288193106651306,372,109,1
1,0,1,iter_00_frame_001.png,5,390.22265625,160.45703125,0.7605515718460083,399,157,2
1,0,1,iter_00_frame_001.png,6,373.58203125,160.45703125,0.7967123985290527,378,153,1
1,0,1,iter_00_frame_001.png,7,431.82421875,185.41796875,0.633926510810852,439,199,2
1,0,1,iter_00_frame_001.png,8,381.90234375,185.41796875,0.6761839389801025,394,183,1
1,0,1,iter_00_frame_001.png,9,415.18359375,152.13671875,0.8612490892410278,423,157,2
1,0,1,iter_00_frame_001.png,10,415.18359375,152.13671875,0.6901952028274536,372,143,1
1,0,1,iter_00_frame_001.png,11,390.22265625,251.98046875,0.8167344331741333,398,251,2
1,0,1,iter_00_frame_001.png,12,390.22265625,251.98046875,0.8199775218963623,374,237,1
1,0,1,iter_00_frame_001.png,13,373.58203125,326.86328125,0.8133120536804199,391,334,2
1,0,1,iter_00_frame_001.png,14,381.90234375,335.18359375,0.8699691295623779,366,312,1
1,0,1,iter_00_frame_001.png,15,390.22265625,401.74609375,0.7166340351104736,401,417,2
1,0,1,iter_00_frame_001.png,16,390.22265625,410.06640625,0.6817190647125244,371,386,1
2,0,2,iter_00_frame_002.png,0,381.90234375,143.81640625,0.7594324350357056,349,121,2
2,0,2,iter_00_frame_002.png,1,381.90234375,127.17578125,0.7897087335586548,354,108,2
2,0,2,iter_00_frame_002.png,2,373.58203125,135.49609375,0.8088688850402832,351,107,1
2,0,2,iter_00_frame_002.png,3,390.22265625,127.17578125,0.665816068649292,382,112,2
2,0,2,iter_00_frame_002.png,4,365.26171875,135.49609375,0.7245826125144958,372,109,1
2,0,2,iter_00_frame_002.png,5,390.22265625,160.45703125,0.7420058250427246,399,157,2
2,0,2,iter_00_frame_002.png,6,373.58203125,152.13671875,0.7946445941925049,378,153,1
2,0,2,iter_00_frame_002.png,7,431.82421875,185.41796875,0.6293861865997314,440,199,2
2,0,2,iter_00_frame_002.png,8,381.90234375,185.41796875,0.6985304355621338,394,183,1
2,0,2,iter_00_frame_002.png,9,415.18359375,152.13671875,0.8622575402259827,423,158,2
2,0,2,iter_00_frame_002.png,10,415.18359375,152.13671875,0.7072531580924988,372,143,1
2,0,2,iter_00_frame_002.png,11,390.22265625,251.98046875,0.8123049736022949,399,251,2
2,0,2,iter_00_frame_002.png,12,390.22265625,251.98046875,0.8131497502326965,375,238,1
2,0,2,iter_00_frame_002.png,13,373.58203125,326.86328125,0.8183323740959167,390,334,2
2,0,2,iter_00_frame_002.png,14,381.90234375,335.18359375,0.8821942806243896,366,312,1
2,0,2,iter_00_frame_002.png,15,390.22265625,401.74609375,0.7163038849830627,401,417,2
2,0,2,iter_00_frame_002.png,16,390.22265625,410.06640625,0.6867442727088928,371,386,1
3,0,3,iter_00_frame_003.png,0,381.90234375,143.81640625,0.7497192621231079,348,121,2
3,0,3,iter_00_frame_003.png,1,381.90234375,127.17578125,0.7797468900680542,354,108,2
3,0,3,iter_00_frame_003.png,2,373.58203125,135.49609375,0.7916713356971741,350,107,1
3,0,3,iter_00_frame_003.png,3,390.22265625,127.17578125,0.6612309217453003,382,112,2
